"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","Validar busca por produto com ID vazio","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:25 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
"","241","Deve buscar todos os produtos","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","53","Tentar buscar produto com nome não cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","51","Validar busca por ID usuário com menos de 16 caracteres alfanuméricos","Testes da API de Usuários","Sat May 31 12:25:52 GMT 2025","passed","Sat May 31 12:25:52 GMT 2025","","","",""
"","111","Deve buscar usuários administrador = True","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","57","Buscar o usuário pelo password inválida","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","58","Não deve permitir criar usuário com password usando boolean = true","Testes da API de Usuários","Sat May 31 12:26:20 GMT 2025","passed","Sat May 31 12:26:20 GMT 2025","","","",""
"","73","Buscar o usuário pelo nome inválido","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","119","Não deve permitir cadastrar um usuário com email já existente","Testes da API de Usuários","Sat May 31 12:26:18 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","55","Deve buscar produto por ID e validar ID","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:25 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
"","98","Tentar deletar usuário com ID com números inteiros","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:45 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","99","Tentar deletar usuário com ID como falso","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:45 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","54","Tentar fazer login com email sem @","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","55","Tentar editar um novo produto que a quantidade tenha casas décimais 13.6","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","56","Não deve permitir criar usuário com email usando boolean = true","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","238","Deve listar carrinho por ID do Usuário","Testes da API de Carrinhos - Realizar busca por carrinhos","Sat May 31 12:25:06 GMT 2025","passed","Sat May 31 12:25:06 GMT 2025","","","",""
"","207","Deltar produto criado","Testes da API de Produtos","Sat May 31 12:25:20 GMT 2025","passed","Sat May 31 12:25:21 GMT 2025","","","",""
